EVT_2008_STD,Year.x,EVT_Name.x,Year.y,EVT_Name.y,CALAND_v1
Abies concolor Forest Alliance,2001,Abies concolor Forest Alliance,2010,Abies concolor Forest Alliance,forest
Agriculture-Cultivated Crops and Irrigated Agriculture,2001,Agriculture-Cultivated Crops and Irrigated Agriculture,2010,Western Warm Temperate Aquaculture,agriculture
Agriculture-Pasture and Hay,2001,Agriculture-Pasture and Hay,2010,Western Warm Temperate Developed Ruderal Grassland,agriculture
Apacherian-Chihuahuan Mesquite Upland Scrub,2001,Apacherian-Chihuahuan Mesquite Upland Scrub,2010,Apacherian-Chihuahuan Mesquite Upland Scrub,desert
Artemisia tridentata ssp. vaseyana Shrubland Alliance,2001,Artemisia tridentata ssp. vaseyana Shrubland Alliance,2010,Artemisia tridentata ssp. vaseyana Shrubland Alliance,shrubland
Barren,2001,Barren,2010,Barren,barren
California Annual Grassland,2001,California Annual Grassland,2010,California Annual Grassland,grassland
California Central Valley and Southern Coastal Grassland,2001,California Central Valley and Southern Coastal Grassland,2010,California Central Valley Riparian Herbaceous,grassland
California Central Valley Mixed Oak Savanna,2001,California Central Valley Mixed Oak Savanna,2010,California Central Valley Mixed Oak Savanna,savanna
California Central Valley Riparian Woodland and Shrubland,2001,California Central Valley Riparian Woodland and Shrubland,2010,California Central Valley Riparian Forest and Woodland,woodland
California Coastal Closed-Cone Conifer Forest and Woodland,2001,California Coastal Closed-Cone Conifer Forest and Woodland,2010,California Coastal Closed-Cone Conifer Forest and Woodland,forest
California Coastal Live Oak Woodland and Savanna,2001,California Coastal Live Oak Woodland and Savanna,2010,California Coastal Live Oak Woodland and Savanna,savanna
California Coastal Redwood Forest,2001,California Coastal Redwood Forest,2010,California Coastal Redwood Forest,forest
California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,2001,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,2010,California Lower Montane Foothill Pine Woodland and Savanna,savanna
California Maritime Chaparral,2001,California Maritime Chaparral,2010,California Maritime Chaparral,shrubland
California Mesic Chaparral,2001,California Mesic Chaparral,2010,California Mesic Chaparral,shrubland
California Mesic Serpentine Grassland,2001,California Mesic Serpentine Grassland,2010,California Mesic Serpentine Grassland,grassland
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2001,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2010,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,woodland
California Montane Riparian Systems,2001,California Montane Riparian Systems,2010,California Montane Riparian Systems,woodland
California Montane Woodland and Chaparral,2001,California Montane Woodland and Chaparral,2010,California Montane Woodland and Chaparral,woodland
California Northern Coastal Grassland,2001,California Northern Coastal Grassland,2010,California Northern Coastal Grassland,grassland
California Xeric Serpentine Chaparral,2001,California Xeric Serpentine Chaparral,2010,California Xeric Serpentine Chaparral,shrubland
Central and Southern California Mixed Evergreen Woodland,2001,Central and Southern California Mixed Evergreen Woodland,2010,Central and Southern California Mixed Evergreen Woodland,woodland
Coleogyne ramosissima Shrubland Alliance,2001,Coleogyne ramosissima Shrubland Alliance,2010,Coleogyne ramosissima Shrubland Alliance,shrubland
Colorado Plateau Pinyon-Juniper Woodland,2001,Colorado Plateau Pinyon-Juniper Woodland,2010,Colorado Plateau Pinyon-Juniper Woodland,woodland
Columbia Basin Palouse Prairie,2001,Columbia Basin Palouse Prairie,2010,Columbia Basin Palouse Prairie,grassland
Columbia Plateau Low Sagebrush Steppe,2001,Columbia Plateau Low Sagebrush Steppe,2010,Columbia Plateau Low Sagebrush Steppe,shrubland
Columbia Plateau Steppe and Grassland,2001,Columbia Plateau Steppe and Grassland,2010,Columbia Plateau Steppe and Grassland,grassland
Columbia Plateau Western Juniper Woodland and Savanna,2001,Columbia Plateau Western Juniper Woodland and Savanna,2010,Columbia Plateau Western Juniper Woodland and Savanna,savanna
Developed-High Intensity,2001,Developed-High Intensity,2010,Developed-High Intensity,developed_all
Developed-Low Intensity,2001,Developed-Low Intensity,2010,Developed-Low Intensity,developed_all
Developed-Medium Intensity,2001,Developed-Medium Intensity,2010,Developed-Medium Intensity,developed_all
Developed-Open Space,2001,Developed-Open Space,NA,NA,developed_all
Developed-Roads,2001,Developed-Roads,2010,Developed-Roads,developed_all
Developed-Upland Deciduous Forest,2001,Developed-Upland Deciduous Forest,2010,Western Cool Temperate Urban Deciduous Forest,developed_all
Developed-Upland Evergreen Forest,2001,Developed-Upland Evergreen Forest,2010,Western Warm Temperate Urban Evergreen Forest,developed_all
Developed-Upland Herbaceous,2001,Developed-Upland Herbaceous,2010,Western Warm Temperate Urban Herbaceous,developed_all
Developed-Upland Mixed Forest,2001,Developed-Upland Mixed Forest,2010,Western Cool Temperate Urban Mixed Forest,developed_all
Developed-Upland Shrubland,2001,Developed-Upland Shrubland,2010,Western Cool Temperate Urban Shrubland,developed_all
East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,2001,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,2010,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,forest
East Cascades Oak-Ponderosa Pine Forest and Woodland,2001,East Cascades Oak-Ponderosa Pine Forest and Woodland,2010,East Cascades Ponderosa Pine Forest and Woodland,forest
Grayia spinosa Shrubland Alliance,2001,Grayia spinosa Shrubland Alliance,2010,Grayia spinosa Shrubland Alliance,shrubland
Great Basin Pinyon-Juniper Woodland,2001,Great Basin Pinyon-Juniper Woodland,2010,Great Basin Pinyon-Juniper Woodland,woodland
Great Basin Semi-Desert Chaparral,2001,Great Basin Semi-Desert Chaparral,2010,Great Basin Semi-Desert Chaparral,shrubland
Great Basin Xeric Mixed Sagebrush Shrubland,2001,Great Basin Xeric Mixed Sagebrush Shrubland,2010,Great Basin Xeric Mixed Sagebrush Shrubland,shrubland
Herbaceous Semi-dry,2001,Herbaceous Semi-dry,NA,NA,meadow
Herbaceous Semi-wet,2001,Herbaceous Semi-wet,NA,NA,meadow
Herbaceous Wetlands,2001,Herbaceous Wetlands,2010,Rocky Mountain Wetland-Herbaceous,meadow
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,2001,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,2010,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,forest
Inter-Mountain Basins Big Sagebrush Shrubland,2001,Inter-Mountain Basins Big Sagebrush Shrubland,2010,Inter-Mountain Basins Big Sagebrush Shrubland,shrubland
Inter-Mountain Basins Big Sagebrush Steppe,2001,Inter-Mountain Basins Big Sagebrush Steppe,2010,Inter-Mountain Basins Big Sagebrush Steppe,shrubland
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2001,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2010,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,woodland
Inter-Mountain Basins Greasewood Flat,2001,Inter-Mountain Basins Greasewood Flat,2010,Inter-Mountain Basins Greasewood Flat,shrubland
Inter-Mountain Basins Mixed Salt Desert Scrub,2001,Inter-Mountain Basins Mixed Salt Desert Scrub,2010,Inter-Mountain Basins Mixed Salt Desert Scrub,desert
Inter-Mountain Basins Montane Riparian Systems,2001,Inter-Mountain Basins Montane Riparian Systems,2010,Inter-Mountain Basins Montane Riparian Forest and Woodland,woodland
Inter-Mountain Basins Montane Sagebrush Steppe,2001,Inter-Mountain Basins Montane Sagebrush Steppe,2010,Inter-Mountain Basins Montane Sagebrush Steppe,shrubland
Inter-Mountain Basins Semi-Desert Grassland,2001,Inter-Mountain Basins Semi-Desert Grassland,2010,Inter-Mountain Basins Semi-Desert Grassland,grassland
Inter-Mountain Basins Semi-Desert Shrub-Steppe,2001,Inter-Mountain Basins Semi-Desert Shrub-Steppe,2010,Inter-Mountain Basins Semi-Desert Shrub-Steppe,shrubland
