zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5665,21,5.078453979,162.6874805,157.6090265,12.57153335,12.57153335,17.07591097,291.5867355,135.8299779,71217.73641,71217.73641
100002,,484,4048,3.76590332,299.7440039,295.9781006,59.51585235,59.51585235,51.15781768,2617.12231,85.95662443,28805.67254,28805.67254
100003,,2726,1288,0.581458321,944.1936719,943.6122136,117.9700842,117.9700842,62.12138264,3859.066181,52.65858972,321586.4496,321586.4496
100004,,15212,67404,0.610087471,2326.467188,2325.8571,112.0641181,112.0641181,53.39516463,2851.043605,47.64697703,1704719.365,1704719.365
100005,,23,234,16.58597778,52.3359375,35.74995972,21.78899027,21.78899027,6.563316216,43.07711975,30.12216783,501.1467761,501.1467761
100006,,70512,50179,0.581458321,241.319043,240.7375846,160.5296534,160.5296534,29.60100855,876.2197072,18.43958915,11319266.92,11319266.92
100007,,52224,93599,0.357431297,2342.36625,2342.008819,140.2621136,140.2621136,149.9828797,22494.8642,106.930429,7325048.619,7325048.619
100008,,29701,10635,0.581458321,2342.36625,2341.784792,150.9453099,150.9453099,113.6151725,12908.40742,75.26909753,4483226.648,4483226.648
100009,,64,7,5.412168579,189.9631445,184.550976,52.4689553,52.4689553,50.67369655,2567.823523,96.57843627,3358.013139,3358.013139
102001,,229544,25151,0.549155045,213.1238867,212.5747317,16.56722504,16.56722504,16.39884414,268.9220892,98.98365055,3802907.105,3802907.105
102002,,3828,198,3.235493164,295.1385352,291.903042,85.36431421,85.36431421,40.86779861,1670.176963,47.87457029,326774.5948,326774.5948
102003,,3825,660,0.581458321,299.7440039,299.1625456,40.11604774,40.11604774,54.68583686,2990.540753,136.319104,153443.8826,153443.8826
102004,,5135,739,0.549155045,299.7440039,299.1948489,53.28593711,53.28593711,61.45760848,3777.03764,115.3355122,273623.287,273623.287
102005,,1008,332,8.758483887,309.4319141,300.6734302,54.5034119,54.5034119,53.44484189,2856.351124,98.0577913,54939.43919,54939.43919
102006,,12184,1506,0.645975037,239.5979883,238.9520132,29.34522975,29.34522975,33.94149407,1152.025019,115.6627307,357542.2793,357542.2793
102007,,626033,38035,0.430316429,944.1936719,943.7633554,48.41887541,48.41887541,44.42554554,1973.629097,91.75253487,30311813.83,30311813.83
102008,,27113,553,0.549155045,299.7440039,299.1948489,19.88761897,19.88761897,38.23769701,1462.121473,192.2688536,539213.0132,539213.0132
102009,,7767,454,0.549155045,129.7637891,129.214634,28.24885946,28.24885946,16.24483339,263.894612,57.50615673,219408.8914,219408.8914
103001,,24274,3185,0.549155045,213.1238867,212.5747317,26.32400973,26.32400973,25.20227768,635.1548005,95.73874932,638989.0121,638989.0121
103002,,1378,57,3.235493164,295.1385352,291.903042,60.27752826,60.27752826,41.33347442,1708.456107,68.57194647,83062.43395,83062.43395
103003,,2858,212,0.430316429,285.7040625,285.2737461,79.98356756,79.98356756,59.35769988,3523.336534,74.21236848,228593.0361,228593.0361
103004,,1970,696,0.610087471,260.9122656,260.3021782,83.73820372,83.73820372,39.48744467,1559.258286,47.15582961,164964.2613,164964.2613
