Landcat,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2
80019003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57600,0,0,0,0,0,0,0,0
80019006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800,0,0,0,0,0,0,0,0,0,0
80019007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019803,0,21600,0,0,21600,13500,0,25200,0,0,19800,0,0,0,0,0,0,12600,9900,18900,14400,16200,0,0,0,0,0,0,13500,0,0,0,0,0,0
80019804,0,23400,136800,109800,63000,136800,173700,7200,45000,57600,239400,142200,63900,195300,23400,27000,200700,67500,35100,142200,0,97200,6300,111600,190800,4500,32400,0,0,0,123300,65700,62100,0,0
80019806,0,1737000,1758600,2452500,1528200,1480500,2006100,1874700,1728000,1718100,1845000,2161800,1482300,1497600,1248300,1668600,2080800,1266300,1296000,980100,1216800,1373400,1318500,968400,1050300,819900,985500,615600,1284300,1396800,838800,1318500,1302300,1640700,909000
80019807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019804,0,-48600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019806,0,-79200,57600,0,-57600,0,0,0,-57600,64800,0,0,0,10800,0,-7200,0,324900,0,-10800,0,-57600,0,-187200,-80100,0,0,79200,0,0,0,-57600,0,64800,195300
