Landcat,A2_y2015,A2_y2016,A2_y2017,A2_y2018,A2_y2019,A2_y2020,A2_y2021,A2_y2022,A2_y2023,A2_y2024,A2_y2025,A2_y2026,A2_y2027,A2_y2028,A2_y2029,A2_y2030,A2_y2031,A2_y2032,A2_y2033,A2_y2034,A2_y2035,A2_y2036,A2_y2037,A2_y2038,A2_y2039,A2_y2040,A2_y2041,A2_y2042,A2_y2043,A2_y2044,A2_y2045,A2_y2046,A2_y2047,A2_y2048,A2_y2049,A2_y2050
80019003,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969
80019004,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11544,11480,11480,11480,11480,11480,11480,11480,11480,11480
80019006,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19127,19199,19199,19199,19199,19199,19199,19199,19199,19199,19199,19199
80019007,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
80019008,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
80019802,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455
80019803,644,646,670,670,670,694,709,709,737,737,737,759,759,759,759,759,759,759,773,784,805,821,839,839,839,839,839,839,839,854,854,854,854,854,854,854
80019804,19525,19579,19605,19757,19879,19949,20101,20294,20302,20352,20416,20682,20840,20911,21128,21154,21184,21407,21482,21521,21679,21679,21787,21794,21918,22130,22135,22171,22171,22171,22171,22308,22381,22450,22450,22450
80019806,263791,265437,267367,269321,272046,273744,275389,277618,279701,281621,283530,285580,287982,289629,291293,292680,294534,296846,298253,299693,300782,302134,303660,305125,306201,307368,308279,309374,310058,311485,313037,313969,315434,316881,318704,319714
80019807,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
80019808,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
80019804,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019806,369,152,64,128,128,64,64,64,64,0,72,72,72,72,84,84,76,76,437,437,425,425,361,361,153,64,64,64,152,152,152,152,88,88,160,377
80019807,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80019808,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80011003,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
80011006,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12386,12322,12322,12322,12258,12258,12258,12258,12258,12258,12258,12186,12186,12186,12186
80011008,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
