Region,Ownership,X2001_ha,X2002_ha,X2003_ha,X2004_ha,X2005_ha,X2006_ha,X2007_ha,X2008_ha,X2009_ha,X2010_ha,X2011_ha,X2012_ha,X2013_ha,X2014_ha,X2015_ha,X2016_ha,X2017_ha,X2018_ha,X2019_ha,X2020_ha,X2021_ha,X2022_ha,X2023_ha,X2024_ha,X2025_ha,X2026_ha,X2027_ha,X2028_ha,X2029_ha,X2030_ha,X2031_ha,X2032_ha,X2033_ha,X2034_ha,X2035_ha,X2036_ha,X2037_ha,X2038_ha,X2039_ha,X2040_ha,X2041_ha,X2042_ha,X2043_ha,X2044_ha,X2045_ha,X2046_ha,X2047_ha,X2048_ha,X2049_ha,X2050_ha,X2051_ha,X2052_ha,X2053_ha,X2054_ha,X2055_ha,X2056_ha,X2057_ha,X2058_ha,X2059_ha,X2060_ha,X2061_ha,X2062_ha,X2063_ha,X2064_ha,X2065_ha,X2066_ha,X2067_ha,X2068_ha,X2069_ha,X2070_ha,X2071_ha,X2072_ha,X2073_ha,X2074_ha,X2075_ha,X2076_ha,X2077_ha,X2078_ha,X2079_ha,X2080_ha,X2081_ha,X2082_ha,X2083_ha,X2084_ha,X2085_ha,X2086_ha,X2087_ha,X2088_ha,X2089_ha,X2090_ha,X2091_ha,X2092_ha,X2093_ha,X2094_ha,X2095_ha,X2096_ha,X2097_ha,X2098_ha,X2099_ha,X2100_ha
C08001,DOD,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223,0.004223
C08001,FWS,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863,4.59863
C08001,Local,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636,0.812636
C08001,Private,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513,43.957513
C08001,State_Other,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233,0.111233
C08001,State_Trust,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346,1.417346
C08003,BLM,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284,2.10284
C08003,FWS,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788,2.173788
C08003,NPS,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194,1.191194
C08003,Private,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308,13.233308
