zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800101002,,6,0,0,0,0,0,0,0,0,nan,0,0
800101003,,53,0,0,0,0,0,0,0,0,nan,0,0
800101004,,53,0,0,0,0,0,0,0,0,nan,0,0
800101006,,599,0,0,0,0,0,0,0,0,nan,0,0
800301001,,16035,0,0,0,0,0,0,0,0,nan,0,0
800301003,,10661,0,0,0,0,0,0,0,0,nan,0,0
800301005,,1955773,0,0,0,0,0,0,0,0,nan,0,0
800301006,,1943,0,0,0,0,0,0,0,0,nan,0,0
800301007,,48643,0,0,0,0,0,0,0,0,nan,0,0
800301008,,3224,0,0,0,0,0,0,0,0,nan,0,0
800301010,,501,0,0,0,0,0,0,0,0,nan,0,0
800301011,,4834,0,0,0,0,0,0,0,0,nan,0,0
800501002,,623,0,0,0,0,0,0,0,0,nan,0,0
800501004,,237,0,0,0,0,0,0,0,0,nan,0,0
800501006,,64240,0,0,0,0,0,0,0,0,nan,0,0
800501008,,182,0,0,0,0,0,0,0,0,nan,0,0
800501012,,897,0,0,0,0,0,0,0,0,nan,0,0
800701001,,4,0,0,0,0,0,0,0,0,nan,0,0
800701006,,377,0,0,0,0,0,0,0,0,nan,0,0
800701007,,1950,0,0,0,0,0,0,0,0,nan,0,0
800701009,,9213,0,0,0,0,0,0,0,0,nan,0,0
800701010,,3298,0,0,0,0,0,0,0,0,nan,0,0
800701011,,2833,0,0,0,0,0,0,0,0,nan,0,0
800701012,,7058,0,0,0,0,0,0,0,0,nan,0,0
800901001,,22408,0,0,0,0,0,0,0,0,nan,0,0
800901006,,245,0,0,0,0,0,0,0,0,nan,0,0
800901007,,75,0,0,0,0,0,0,0,0,nan,0,0
800901008,,4211,0,0,0,0,0,0,0,0,nan,0,0
800901010,,9118,0,0,0,0,0,0,0,0,nan,0,0
801101001,,177,0,0,0,0,0,0,0,0,nan,0,0
801101002,,1951,0,0,0,0,0,0,0,0,nan,0,0
801101006,,114,0,0,0,0,0,0,0,0,nan,0,0
801101007,,20,0,0,0,0,0,0,0,0,nan,0,0
801101008,,160,0,0,0,0,0,0,0,0,nan,0,0
801301001,,2,0,0,0,0,0,0,0,0,nan,0,0
801301004,,1,0,0,0,0,0,0,0,0,nan,0,0
801301006,,17197,0,0,0,0,0,0,0,0,nan,0,0
801301007,,13,0,0,0,0,0,0,0,0,nan,0,0
