zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
80011002,,6,0,0,0,0,0,0,0,0,nan,0,0
80011003,,53,0,0,0,0,0,0,0,0,nan,0,0
80011004,,53,0,0,0,0,0,0,0,0,nan,0,0
80011006,,599,0,0,0,0,0,0,0,0,nan,0,0
80031001,,16035,0,0,0,0,0,0,0,0,nan,0,0
80031003,,10661,0,0,0,0,0,0,0,0,nan,0,0
80031005,,1955773,0,0,0,0,0,0,0,0,nan,0,0
80031006,,1943,0,0,0,0,0,0,0,0,nan,0,0
80031007,,48643,0,0,0,0,0,0,0,0,nan,0,0
80031008,,3224,0,0,0,0,0,0,0,0,nan,0,0
80031010,,501,0,0,0,0,0,0,0,0,nan,0,0
80031011,,4834,0,0,0,0,0,0,0,0,nan,0,0
80051002,,623,0,0,0,0,0,0,0,0,nan,0,0
80051004,,237,0,0,0,0,0,0,0,0,nan,0,0
80051006,,64240,0,0,0,0,0,0,0,0,nan,0,0
80051008,,182,0,0,0,0,0,0,0,0,nan,0,0
80051012,,897,0,0,0,0,0,0,0,0,nan,0,0
80071001,,4,0,0,0,0,0,0,0,0,nan,0,0
80071006,,377,0,0,0,0,0,0,0,0,nan,0,0
80071007,,1950,0,0,0,0,0,0,0,0,nan,0,0
80071009,,9213,0,0,0,0,0,0,0,0,nan,0,0
80071010,,3298,0,0,0,0,0,0,0,0,nan,0,0
80071011,,2833,0,0,0,0,0,0,0,0,nan,0,0
80071012,,7058,0,0,0,0,0,0,0,0,nan,0,0
80091001,,22408,0,0,0,0,0,0,0,0,nan,0,0
80091006,,245,0,0,0,0,0,0,0,0,nan,0,0
80091007,,75,0,0,0,0,0,0,0,0,nan,0,0
80091008,,4211,0,0,0,0,0,0,0,0,nan,0,0
80091010,,9118,0,0,0,0,0,0,0,0,nan,0,0
80111001,,177,0,0,0,0,0,0,0,0,nan,0,0
80111002,,1951,0,0,0,0,0,0,0,0,nan,0,0
80111006,,114,0,0,0,0,0,0,0,0,nan,0,0
80111007,,20,0,0,0,0,0,0,0,0,nan,0,0
80111008,,160,0,0,0,0,0,0,0,0,nan,0,0
80131001,,2,0,0,0,0,0,0,0,0,nan,0,0
80131004,,1,0,0,0,0,0,0,0,0,nan,0,0
80131006,,17197,0,0,0,0,0,0,0,0,nan,0,0
80131007,,13,0,0,0,0,0,0,0,0,nan,0,0
80131008,,682,0,0,0,0,0,0,0,0,nan,0,0
80131010,,185,0,0,0,0,0,0,0,0,nan,0,0
80131011,,1096,0,0,0,0,0,0,0,0,nan,0,0
80141004,,216,0,0,0,0,0,0,0,0,nan,0,0
80141006,,4,0,0,0,0,0,0,0,0,nan,0,0
80151001,,1,0,0,0,0,0,0,0,0,nan,0,0
80151006,,289965,0,0,0,0,0,0,0,0,nan,0,0
80151007,,145,0,0,0,0,0,0,0,0,nan,0,0
80151008,,4,0,0,0,0,0,0,0,0,nan,0,0
80151010,,2685,0,0,0,0,0,0,0,0,nan,0,0
80151011,,9,0,0,0,0,0,0,0,0,nan,0,0
80171006,,91766,0,0,0,0,0,0,0,0,nan,0,0
80171008,,263,0,0,0,0,0,0,0,0,nan,0,0
80191004,,3644,0,0,0,0,0,0,0,0,nan,0,0
80191006,,137,0,0,0,0,0,0,0,0,nan,0,0
80191010,,110,0,0,0,0,0,0,0,0,nan,0,0
80191011,,3995,0,0,0,0,0,0,0,0,nan,0,0
80211001,,124,0,0,0,0,0,0,0,0,nan,0,0
80211006,,3059,0,0,0,0,0,0,0,0,nan,0,0
80211007,,550,0,0,0,0,0,0,0,0,nan,0,0
80211008,,1,0,0,0,0,0,0,0,0,nan,0,0
80211010,,820,0,0,0,0,0,0,0,0,nan,0,0
80211011,,11056,0,0,0,0,0,0,0,0,nan,0,0
80231001,,59680,0,0,0,0,0,0,0,0,nan,0,0
80231006,,17610,0,0,0,0,0,0,0,0,nan,0,0
80231010,,50894,0,0,0,0,0,0,0,0,nan,0,0
80231011,,7035,0,0,0,0,0,0,0,0,nan,0,0
80251001,,77912,0,0,0,0,0,0,0,0,nan,0,0
