zone,label,non_null,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800101002,,6,0,60.32157516,60.80932617,0.48775101,60.48415883,60.48415883,0.22992803,0.052866899,0.003801459,362.904953,362.904953
800101003,,53,0,0,56.55369949,56.55369949,50.70365229,50.70365229,12.65442143,160.1343816,0.249576132,2687.293571,2687.293571
800101004,,53,0,0,86.0174408,86.0174408,62.11648142,62.11648142,22.60374583,510.9293256,0.363892888,3292.173515,3292.173515
800101006,,599,0,0,100.2577667,100.2577667,48.60360639,48.60360639,15.79630382,249.5232145,0.325002711,29113.56023,29113.56023
800103003,,42,0,0,78.28310394,78.28310394,45.38703246,45.38703246,17.43973961,304.1445175,0.384244985,1906.255363,1906.255363
800103004,,76,0,0,97.19960785,97.19960785,34.57473313,34.57473313,34.60627778,1197.594462,1.000912361,2627.679718,2627.679718
800103006,,1395,0,0,115.2079086,115.2079086,47.16900909,47.16900909,13.70790938,187.9067797,0.290612621,65800.76768,65800.76768
800103007,,1,0,0,0,0,0,0,0,0,0,0,0
800103008,,101,0,40.95784378,54.85602951,13.89818573,46.01611936,46.01611936,2.632311756,6.929065183,0.057204123,4647.628056,4647.628056
800104002,,1,0,60.80932617,60.80932617,0,60.80932617,60.80932617,0,0,0,60.80932617,60.80932617
800104003,,36693,0,0,148.3348694,148.3348694,53.77931466,53.77931466,8.783415084,77.14838053,0.163323299,1973324.393,1973324.393
800104004,,4678,0,0,178.2994385,178.2994385,63.68848846,63.68848846,21.58735978,466.0141024,0.338952302,297934.749,297934.749
800104006,,582100,0,0,176.1135559,176.1135559,47.41209853,47.41209853,4.800634851,23.04609498,0.101253372,27598582.55,27598582.55
800104007,,229,0,0,144.6784668,144.6784668,80.1250066,80.1250066,21.09776937,445.1158723,0.263310672,18348.62651,18348.62651
800104008,,40547,0,0,80.66661072,80.66661072,47.1802353,47.1802353,3.396852517,11.53860702,0.071997363,1913017.001,1913017.001
800105003,,3540,0,0,148.3348694,148.3348694,54.02997774,54.02997774,8.062840638,65.00939916,0.14922902,191266.1212,191266.1212
800105004,,849,0,0,134.4968109,134.4968109,63.27944094,63.27944094,15.56638866,242.3124558,0.245994409,53724.24536,53724.24536
800105006,,32998,0,0,115.9178238,115.9178238,48.76763269,48.76763269,5.941004017,35.29552873,0.121822686,1609234.344,1609234.344
800105007,,127,0,0,144.6784668,144.6784668,83.22710172,83.22710172,18.6363527,347.3136418,0.223921683,10569.84192,10569.84192
800105008,,1448,0,0,66.92650604,66.92650604,49.41060721,49.41060721,4.042745633,16.34379225,0.081819388,71546.55924,71546.55924
800107003,,164,0,47.70204163,57.98676682,10.28472519,53.51991251,53.51991251,1.880322945,3.535614377,0.035133147,8777.265652,8777.265652
800107006,,153,0,0,92.29756165,92.29756165,54.08373834,54.08373834,8.838335714,78.11617819,0.163419467,8274.811966,8274.811966
800108104,,10,0,69.91644287,144.9672394,75.05079653,99.12973862,99.12973862,28.85806233,832.7877613,0.291114077,991.2973862,991.2973862
800108106,,678,0,42.72446442,87.5297699,44.80530548,54.39407372,54.39407372,9.509877533,90.4377707,0.174832971,36879.18198,36879.18198
800108108,,6,0,41.78796768,52.07471466,10.28674698,46.34112867,46.34112867,3.891013326,15.1399847,0.083964578,278.046772,278.046772
800108203,,407,0,0,126.6332169,126.6332169,74.79676145,74.79676145,15.91745285,253.3653054,0.212809386,30442.28191,30442.28191
800108204,,661,0,0,160.5178528,160.5178528,76.66326188,76.66326188,22.27945615,496.3741665,0.290614508,50674.4161,50674.4161
